1,admin@338,China-based,"A China-based cyber threat group, which FireEye tracks as an uncategorized advanced persistent threat (APT) group and other researchers refer to as admin@338, may have conducted the activity.",R1
2,admin@338,financial,"The admin@338 has largely targeted organizations involved in financial, economic and trade policy, typically using publicly available RATs such as Poison Ivy, as well some non-public backdoors.",R3
3,admin@338,economic,"The admin@338 has largely targeted organizations involved in financial, economic and trade policy, typically using publicly available RATs such as Poison Ivy, as well some non-public backdoors.",R3
4,admin@338,trade policy,"The admin@338 has largely targeted organizations involved in financial, economic and trade policy, typically using publicly available RATs such as Poison Ivy, as well some non-public backdoors.",R3
5,admin@338,Poison Ivy,"The admin@338 has largely targeted organizations involved in financial, economic and trade policy, typically using publicly available RATs such as Poison Ivy, as well some non-public backdoors.",R7
6,admin@338,publicly available RATs,"The admin@338 has largely targeted organizations involved in financial, economic and trade policy, typically using publicly available RATs such as Poison Ivy, as well some non-public backdoors.",R7
7,admin@338,non-public backdoors,"The admin@338 has largely targeted organizations involved in financial, economic and trade policy, typically using publicly available RATs such as Poison Ivy, as well some non-public backdoors.",R7
8,admin@338,Hong Kong media companies,"The admin@338 started targeting Hong Kong media companies, probably in response to political and economic challenges in Hong Kong and China.",R3
9,cyber threat groups,China-based,Multiple China-based cyber threat groups have targeted international media organizations in the past.,R1
10,admin@338,international media organizations,The admin@338 has targeted international media organizations in the past.,R3
11,admin@338,spear phishing emails,"In August 2015, the admin@338 sent spear phishing emails to a number of Hong Kong-based media organizations, including newspapers, radio, and television.",R6
12,threat actors,August 2015,"In August 2015, the threat actors sent spear phishing emails to a number of Hong Kong-based media organizations, including newspapers, radio, and television.",R11
14,admin@338,Hong Kong-based media organizations,"In August 2015, the admin@338 sent spear phishing emails to a number of Hong Kong-based media organizations.",R3
15,admin@338,financial and policy organizations,"The admin@338 previous activities against financial and policy organizations have largely focused on spear phishing emails written in English, destined for Western audiences.",R3
16,admin@338,spear phishing emails,"The admin@338 previous activities against financial and policy organizations have largely focused on spear phishing emails written in English, destined for Western audiences.",R6
17,admin@338,LOWBALL,"Once the LOWBALL malware calls back to the Dropbox account, the admin@338 will create a file called upload.bat which contains commands to be executed on the compromised computer.",R7
18,admin@338,BUBBLEWRAP,"We observed the admin@338 upload a second stage malware, known as BUBBLEWRAP (also known as Backdoor.APT.FakeWinHTTPHelper) to their Dropbox account along with the following command.",R7
19,admin@338,Backdoor.APT.FakeWinHTTPHelper,"We observed the admin@338 upload a second stage malware, known as BUBBLEWRAP (also known as Backdoor.APT.FakeWinHTTPHelper) to their Dropbox account along with the following command.",R7
20,admin@338,BUBBLEWRAP,We have previously observed the admin@338 group use BUBBLEWRAP.,R7
23,admin@338,governments,"The admin@338 linked to China and alleged to be responsible for targeted attacks against foreign governments and ministries, has now pointed its focus inward at China autonomous territory Hong Kong.",R3
24,admin@338,ministries,"The admin@338 linked to China and alleged to be responsible for targeted attacks against foreign governments and ministries, has now pointed its focus inward at China autonomous territory Hong Kong.",R3
25,APT gang,China,"An APT gang linked to China and alleged to be responsible for targeted attacks against foreign governments and ministries, has now pointed its focus inward at China autonomous territory Hong Kong.",R1
26,admin@338,financial firms,The group targeting Hong Kong media outlets is called admin@338 and is known to researchers for using publicly available remote access Trojans such as Poison Ivy to attack government and financial firms specializing in global economic policy.,R3
27,admin@338,government,The group targeting Hong Kong media outlets is called admin@338 and is known to researchers for using publicly available remote access Trojans such as Poison Ivy to attack government and financial firms specializing in global economic policy.,R3
28,admin@338,remote access Trojans,The agroup targeting Hong Kong media outlets is called admin@338 and is known to researchers for using publicly available remote access Trojans such as Poison Ivy to attack government and financial firms specializing in global economic policy.,R7
29,admin@338,Poison Ivy,The group targeting Hong Kong media outlets is called admin@338 and is known to researchers for using publicly available remote access Trojans such as Poison Ivy to attack government and financial firms specializing in global economic policy.,R7
30,admin@338,Hong Kong media outlets,The group targeting Hong Kong media outlets is called admin@338 and is known to researchers for using publicly available remote access Trojans such as Poison Ivy to attack government and financial firms specializing in global economic policy.,R3
31,admin@338,financial services,"The admin@338, active since 2008, has been seen targeting organizations in the financial services, telecoms, government, and defense sectors.",R3
32,admin@338,telecoms,"The admin@338, active since 2008, has been seen targeting organizations in the financial services, telecoms, government, and defense sectors.",R3
33,admin@338,defense,"The admin@338, active since 2008, has been seen targeting organizations in the financial services, telecoms, government, and defense sectors.",R3
34,APT actor,2008,"The APT actor, active since 2008, has been seen targeting organizations in the financial services, telecoms, government, and defense sectors.",R9
35,admin@338,Poison Ivy RAT,"In August 2013, FireEye reported that admin@338 had been using the Poison Ivy RAT in its operations.",R7
37,admin@338,government,"In March 2014, the admin@338 leveraged the disappearance of Malaysia Airlines Flight MH370 to target a government in the Asia-Pacific region and a US-based think tank.",R3
38,admin@338,Asia-Pacific region,"In March 2014, the admin@338 leveraged the disappearance of Malaysia Airlines Flight MH370 to target a government in the Asia-Pacific region and a US-based think tank.",R2
39,admin@338,US-based think tank,"In March 2014, the admin@338 leveraged the disappearance of Malaysia Airlines Flight MH370 to target a government in the Asia-Pacific region and a US-based think tank.",R3
40,group,March 2014,"In March 2014, the group leveraged the disappearance of Malaysia Airlines Flight MH370 to target a government in the Asia-Pacific region and a US-based think tank.",R11
41,admin@338,LOWBALL,"According to FireEye, the admin@338 sent out emails containing malicious documents designed to exploit Microsoft Office vulnerabilities in an effort to deliver a piece of malware dubbed LOWBALL.",R7
42,attackers,Microsoft Office vulnerabilities,"According to FireEye, the attackers sent out emails containing malicious documents designed to exploit Microsoft Office vulnerabilities in an effort to deliver a piece of malware dubbed LOWBALL.",R6
43,admin@338,BUBBLEWRAP,The admin@338's Dropbox accounts have also been found to contain a different backdoor dubbed BUBBLEWRAP.,R7
44,threat groups,China-based,"Researchers have pointed out that it is not uncommon for China-based threat groups to target Hong Kong media organizations, particularly ones whose reporting focuses on the pro-democracy movement.",R1
45,admin@338,Hong Kong media organizations,"Researchers have pointed out that it is not uncommon for admin@338 to target Hong Kong media organizations, particularly ones whose reporting focuses on the pro-democracy movement.",R3
46,admin@338,government,"This week the experts at FireEye discovered that a group of Chinese-based hackers called admin@338 had sent multiple MH370-themed spear phishing emails, the attackers targeted government officials in Asia-Pacific, it is likely for cyber espionage purpose.",R3
47,admin@338,Asia-Pacific,"This week the experts at FireEye discovered that a group of Chinese-based hackers called admin@338 had sent multiple MH370-themed spear phishing emails, the attackers targeted government officials in Asia-Pacific, it is likely for cyber espionage purpose.",R2
48,admin@338,spear phishing emails,"This week the experts at FireEye discovered that a group of Chinese-based hackers called admin@338 had sent multiple MH370-themed spear phishing emails, the attackers targeted government officials in Asia-Pacific, it is likely for cyber espionage purpose.",R6
49,attackers,government officials,The attackers used the popular Poison Ivy RAT and WinHTTPHelper malware to compromise the computers of government officials.,R5
50,admin@338,Poison Ivy RAT,The admin@338 used the popular Poison Ivy RAT and WinHTTPHelper malware to compromise the computers of government officials.,R7
